case,activity,timestamp
Case69,Quality Check,2025-11-07 09:09:00
Case70,Submit Request,2025-11-06 02:29:00
Case70,Submit Request,2025-11-04 05:07:00
Case70,Quality Check,2025-11-05 09:46:00
Case71,Submit Request,2025-11-07 07:27:00
Case71,Submit Request,2025-11-06 03:53:00
Case71,Submit Request,2025-11-06 09:46:00
Case72,Quality Check,2025-11-04 02:33:00
Case72,Submit Request,2025-11-06 22:36:00
Case72,Submit Request,2025-11-05 21:19:00
Case73,Submit Request,2025-11-06 06:09:00
Case73,Quality Check,2025-11-05 15:27:00
Case73,Quality Check,2025-11-05 01:46:00
Case74,Submit Request,2025-11-06 11:10:00
Case74,Quality Check,2025-11-04 17:51:00
Case74,Submit Request,2025-11-05 21:13:00
Case75,Submit Request,2025-11-07 02:50:00
Case75,Quality Check,2025-11-04 22:12:00
Case75,Submit Request,2025-11-07 02:13:00
Case76,Submit Request,2025-11-04 22:12:00
Case76,Quality Check,2025-11-06 09:15:00
Case76,Submit Request,2025-11-04 07:50:00
Case77,Submit Request,2025-11-04 07:09:00
Case77,Quality Check,2025-11-06 10:52:00
Case77,Submit Request,2025-11-06 21:29:00
Case78,Quality Check,2025-11-07 03:13:00
Case78,Quality Check,2025-11-06 14:33:00
Case78,Submit Request,2025-11-05 14:47:00
Case79,Submit Request,2025-11-05 06:10:00
Case79,Submit Request,2025-11-04 20:27:00
Case79,Submit Request,2025-11-05 06:07:00
Case80,Quality Check,2025-11-04 09:03:00
Case80,Quality Check,2025-11-07 00:45:00
Case80,Submit Request,2025-11-04 17:47:00
Case81,Submit Request,2025-11-05 14:51:00
Case81,Submit Request,2025-11-05 23:53:00
Case81,Submit Request,2025-11-05 11:38:00
Case82,Quality Check,2025-11-05 09:01:00
Case82,Submit Request,2025-11-04 17:01:00
Case82,Quality Check,2025-11-05 08:25:00
Case83,Submit Request,2025-11-07 05:33:00
Case83,Quality Check,2025-11-04 16:22:00
Case83,Quality Check,2025-11-05 11:32:00
Case84,Quality Check,2025-11-06 12:06:00
Case84,Quality Check,2025-11-04 08:08:00
Case84,Submit Request,2025-11-05 10:04:00
Case85,Quality Check,2025-11-05 22:00:00
Case85,Submit Request,2025-11-06 05:37:00
Case85,Quality Check,2025-11-06 02:28:00
Case86,Quality Check,2025-11-04 10:07:00
Case86,Submit Request,2025-11-07 03:39:00
Case86,Quality Check,2025-11-05 19:34:00
Case87,Submit Request,2025-11-04 10:04:00
Case87,Quality Check,2025-11-06 07:29:00
Case87,Quality Check,2025-11-06 21:52:00
Case88,Quality Check,2025-11-04 18:42:00
Case88,Submit Request,2025-11-07 05:01:00
Case88,Submit Request,2025-11-06 16:50:00
Case89,Quality Check,2025-11-07 03:59:00
Case89,Quality Check,2025-11-07 06:48:00
Case89,Submit Request,2025-11-04 05:16:00
Case90,Quality Check,2025-11-05 21:03:00
Case90,Quality Check,2025-11-06 23:55:00
Case90,Submit Request,2025-11-06 00:15:00
Case91,Submit Request,2025-11-07 08:17:00
Case91,Quality Check,2025-11-04 17:40:00
Case91,Submit Request,2025-11-06 20:13:00
Case92,Submit Request,2025-11-06 05:29:00
Case92,Quality Check,2025-11-07 02:18:00
Case92,Quality Check,2025-11-05 14:27:00
Case93,Submit Request,2025-11-06 16:35:00
Case93,Quality Check,2025-11-04 05:23:00
Case93,Submit Request,2025-11-04 02:55:00
Case94,Quality Check,2025-11-06 11:55:00
Case94,Submit Request,2025-11-06 20:16:00
Case94,Quality Check,2025-11-05 00:20:00
Case95,Quality Check,2025-11-06 03:47:00
Case95,Quality Check,2025-11-06 09:17:00
Case95,Submit Request,2025-11-06 17:05:00
Case96,Submit Request,2025-11-04 08:04:00
Case96,Quality Check,2025-11-05 20:21:00
Case96,Quality Check,2025-11-06 16:13:00
Case97,Quality Check,2025-11-06 01:27:00
Case97,Quality Check,2025-11-07 11:02:00
Case97,Submit Request,2025-11-06 02:40:00
Case98,Quality Check,2025-11-05 21:13:00
Case98,Quality Check,2025-11-06 05:56:00
Case98,Submit Request,2025-11-06 16:54:00
Case99,Quality Check,2025-11-06 01:52:00
Case99,Submit Request,2025-11-06 05:31:00
Case99,Quality Check,2025-11-04 04:14:00
Case100,Quality Check,2025-11-06 13:59:00
Case100,Submit Request,2025-11-06 01:34:00
Case100,Quality Check,2025-11-05 18:28:00
Case101,Submit Request,2025-11-06 16:13:00
Case101,Quality Check,2025-11-05 17:31:00
Case101,Quality Check,2025-11-07 00:47:00
Case102,Quality Check,2025-11-04 00:08:00
Case102,Quality Check,2025-11-05 01:10:00
Case102,Quality Check,2025-11-06 05:08:00
Case103,Submit Request,2025-11-06 01:57:00
Case103,Quality Check,2025-11-04 22:38:00
Case103,Submit Request,2025-11-05 02:46:00
Case104,Quality Check,2025-11-05 17:04:00
Case104,Submit Request,2025-11-04 13:50:00
Case104,Quality Check,2025-11-04 02:17:00
Case105,Submit Request,2025-11-05 15:39:00
Case105,Quality Check,2025-11-04 12:20:00
Case105,Quality Check,2025-11-05 05:49:00
Case106,Quality Check,2025-11-05 03:47:00
Case106,Quality Check,2025-11-05 06:29:00
Case106,Submit Request,2025-11-06 08:54:00
Case107,Quality Check,2025-11-05 10:10:00
Case107,Quality Check,2025-11-05 06:56:00
Case107,Submit Request,2025-11-04 17:12:00
Case108,Submit Request,2025-11-05 04:57:00
Case108,Quality Check,2025-11-06 03:31:00
Case108,Quality Check,2025-11-05 20:25:00
Case109,Quality Check,2025-11-05 23:57:00
Case109,Submit Request,2025-11-05 10:10:00
Case109,Quality Check,2025-11-04 02:59:00
Case110,Quality Check,2025-11-06 04:28:00
Case110,Submit Request,2025-11-06 00:10:00
Case110,Submit Request,2025-11-05 21:26:00
Case111,Quality Check,2025-11-06 04:07:00
Case111,Quality Check,2025-11-04 04:39:00
Case111,Quality Check,2025-11-04 03:22:00
Case112,Quality Check,2025-11-06 03:41:00
Case112,Submit Request,2025-11-06 13:19:00
Case112,Quality Check,2025-11-06 11:07:00
Case113,Submit Request,2025-11-06 04:38:00
Case113,Quality Check,2025-11-05 09:43:00
Case113,Quality Check,2025-11-04 11:32:00
Case114,Quality Check,2025-11-04 11:19:00
Case114,Quality Check,2025-11-05 18:32:00
Case114,Submit Request,2025-11-07 04:57:00
Case115,Quality Check,2025-11-04 10:37:00
Case115,Quality Check,2025-11-06 04:17:00
Case115,Quality Check,2025-11-04 23:13:00
Case116,Quality Check,2025-11-06 21:08:00
Case116,Quality Check,2025-11-06 00:23:00
Case116,Quality Check,2025-11-05 14:05:00
Case117,Quality Check,2025-11-04 08:03:00
Case117,Quality Check,2025-11-04 12:47:00
Case117,Quality Check,2025-11-05 05:40:00
Case118,Submit Request,2025-11-05 08:15:00
Case118,Submit Request,2025-11-04 23:11:00
Case118,Quality Check,2025-11-07 07:24:00
Case119,Quality Check,2025-11-07 06:03:00
Case119,Quality Check,2025-11-06 19:31:00
Case119,Quality Check,2025-11-05 03:11:00
Case120,Quality Check,2025-11-07 00:28:00
Case120,Quality Check,2025-11-07 08:59:00
Case120,Quality Check,2025-11-06 01:58:00
Case121,Quality Check,2025-11-06 22:16:00
Case121,Quality Check,2025-11-04 03:24:00
Case121,Quality Check,2025-11-04 02:46:00
Case122,Quality Check,2025-11-04 06:18:00
Case122,Quality Check,2025-11-05 12:20:00
Case122,Submit Request,2025-11-06 20:33:00
Case123,Quality Check,2025-11-06 16:31:00
Case123,Quality Check,2025-11-04 05:28:00
Case123,Quality Check,2025-11-06 17:36:00
Case124,Submit Request,2025-11-05 08:59:00
Case124,Submit Request,2025-11-05 23:16:00
Case124,Quality Check,2025-11-06 22:57:00
Case125,Quality Check,2025-11-05 01:43:00
Case125,Submit Request,2025-11-06 19:59:00
Case125,Submit Request,2025-11-07 04:12:00
Case126,Quality Check,2025-11-04 21:41:00
Case126,Quality Check,2025-11-04 12:19:00
Case126,Quality Check,2025-11-06 15:24:00
Case127,Quality Check,2025-11-06 12:57:00
Case127,Quality Check,2025-11-06 11:14:00
Case127,Submit Request,2025-11-06 21:24:00
Case128,Submit Request,2025-11-04 07:04:00
Case128,Submit Request,2025-11-07 00:11:00
Case128,Submit Request,2025-11-04 16:59:00
Case129,Submit Request,2025-11-05 17:30:00
Case129,Quality Check,2025-11-06 10:15:00
Case129,Submit Request,2025-11-07 11:03:00
Case130,Submit Request,2025-11-06 18:27:00
Case130,Submit Request,2025-11-04 13:28:00
Case130,Quality Check,2025-11-05 11:14:00
Case131,Quality Check,2025-11-06 13:38:00
Case131,Submit Request,2025-11-04 08:48:00
Case131,Quality Check,2025-11-04 13:55:00
Case132,Quality Check,2025-11-05 00:11:00
Case132,Quality Check,2025-11-06 17:17:00
Case132,Quality Check,2025-11-07 08:43:00
Case133,Quality Check,2025-11-07 00:01:00
Case133,Submit Request,2025-11-05 17:28:00
Case133,Quality Check,2025-11-06 11:58:00
Case134,Quality Check,2025-11-05 16:39:00
Case134,Submit Request,2025-11-06 21:49:00
Case134,Quality Check,2025-11-04 04:20:00
Case135,Submit Request,2025-11-05 15:15:00
Case135,Quality Check,2025-11-06 08:00:00
Case135,Quality Check,2025-11-04 00:45:00
Case136,Submit Request,2025-11-05 13:26:00
Case136,Quality Check,2025-11-05 08:21:00
Case136,Quality Check,2025-11-05 20:04:00
Case137,Quality Check,2025-11-04 05:49:00
Case137,Quality Check,2025-11-06 17:35:00
Case137,Submit Request,2025-11-06 02:43:00
Case138,Submit Request,2025-11-04 19:23:00
Case138,Submit Request,2025-11-05 14:51:00
Case138,Quality Check,2025-11-05 00:25:00
Case139,Submit Request,2025-11-05 07:27:00
Case139,Quality Check,2025-11-06 17:22:00
Case139,Quality Check,2025-11-04 21:51:00
Case140,Quality Check,2025-11-07 02:30:00
Case140,Quality Check,2025-11-06 04:23:00
Case140,Quality Check,2025-11-05 06:47:00
Case141,Submit Request,2025-11-04 11:45:00
Case141,Quality Check,2025-11-06 23:53:00
Case141,Quality Check,2025-11-06 05:47:00
Case142,Quality Check,2025-11-04 00:16:00
Case142,Quality Check,2025-11-05 18:20:00
Case142,Quality Check,2025-11-04 02:38:00
Case143,Quality Check,2025-11-07 01:59:00
Case143,Quality Check,2025-11-04 16:37:00
Case143,Submit Request,2025-11-05 06:21:00
Case144,Submit Request,2025-11-06 03:52:00
Case144,Quality Check,2025-11-04 22:32:00
Case144,Submit Request,2025-11-07 05:27:00
Case145,Submit Request,2025-11-04 07:46:00
Case145,Submit Request,2025-11-06 21:18:00
Case145,Quality Check,2025-11-07 10:07:00
Case146,Submit Request,2025-11-05 23:09:00
Case146,Submit Request,2025-11-05 10:47:00
Case146,Submit Request,2025-11-05 12:36:00
Case147,Quality Check,2025-11-07 10:27:00
Case147,Quality Check,2025-11-04 07:16:00
Case147,Submit Request,2025-11-05 07:33:00
Case148,Quality Check,2025-11-07 10:11:00
Case148,Submit Request,2025-11-04 04:09:00
Case148,Submit Request,2025-11-06 13:32:00
Case149,Quality Check,2025-11-04 03:33:00
Case149,Quality Check,2025-11-05 20:47:00
Case149,Submit Request,2025-11-07 10:55:00
Case150,Submit Request,2025-11-05 12:19:00
Case150,Quality Check,2025-11-07 06:03:00
Case150,Submit Request,2025-11-05 09:42:00
Case151,Quality Check,2025-11-04 20:31:00
Case151,Submit Request,2025-11-06 10:31:00
Case151,Submit Request,2025-11-06 09:03:00
Case152,Submit Request,2025-11-05 08:59:00
Case152,Submit Request,2025-11-06 00:03:00
Case152,Submit Request,2025-11-05 12:26:00
Case153,Quality Check,2025-11-05 13:39:00
Case153,Quality Check,2025-11-05 11:35:00
Case153,Quality Check,2025-11-04 09:00:00
Case154,Submit Request,2025-11-04 03:47:00
Case154,Quality Check,2025-11-05 17:01:00
Case154,Quality Check,2025-11-04 15:22:00
Case155,Submit Request,2025-11-06 22:43:00
Case155,Submit Request,2025-11-04 18:44:00
Case155,Submit Request,2025-11-05 01:32:00
Case156,Quality Check,2025-11-05 07:40:00
Case156,Quality Check,2025-11-05 22:30:00
Case156,Quality Check,2025-11-06 17:31:00
Case157,Quality Check,2025-11-05 02:30:00
Case157,Quality Check,2025-11-05 17:57:00
Case157,Submit Request,2025-11-04 03:14:00
Case158,Quality Check,2025-11-07 05:57:00
Case158,Quality Check,2025-11-06 05:33:00
Case158,Quality Check,2025-11-04 14:59:00
Case159,Quality Check,2025-11-05 15:14:00
Case159,Submit Request,2025-11-05 05:33:00
Case159,Submit Request,2025-11-04 17:18:00
Case160,Quality Check,2025-11-04 19:43:00
Case160,Submit Request,2025-11-06 08:04:00
Case160,Quality Check,2025-11-06 21:58:00
Case161,Quality Check,2025-11-06 05:32:00
Case161,Submit Request,2025-11-04 05:23:00
Case161,Submit Request,2025-11-04 03:55:00
Case162,Submit Request,2025-11-04 00:33:00
Case162,Quality Check,2025-11-05 08:53:00
Case162,Quality Check,2025-11-06 23:30:00
Case163,Submit Request,2025-11-05 20:58:00
Case163,Quality Check,2025-11-04 04:27:00
Case163,Submit Request,2025-11-04 18:02:00
Case164,Quality Check,2025-11-05 08:15:00
Case164,Quality Check,2025-11-07 09:30:00
Case164,Submit Request,2025-11-07 03:20:00
Case165,Submit Request,2025-11-04 18:52:00
Case165,Quality Check,2025-11-06 07:17:00
Case165,Quality Check,2025-11-06 02:07:00
Case166,Quality Check,2025-11-05 22:06:00
Case166,Submit Request,2025-11-05 08:09:00
Case166,Submit Request,2025-11-05 08:29:00
Case167,Submit Request,2025-11-06 09:00:00
Case167,Quality Check,2025-11-04 18:42:00
Case167,Submit Request,2025-11-07 06:59:00
Case168,Quality Check,2025-11-04 19:35:00
Case168,Submit Request,2025-11-07 03:41:00
Case168,Quality Check,2025-11-05 03:57:00
Case169,Submit Request,2025-11-04 02:48:00
Case169,Quality Check,2025-11-05 11:59:00
Case169,Quality Check,2025-11-05 00:39:00
Case170,Quality Check,2025-11-05 17:00:00
Case170,Submit Request,2025-11-04 19:02:00
Case170,Quality Check,2025-11-05 08:29:00
Case171,Quality Check,2025-11-05 03:04:00
Case171,Quality Check,2025-11-06 15:56:00
Case171,Quality Check,2025-11-05 18:26:00
Case172,Quality Check,2025-11-06 20:10:00
Case172,Submit Request,2025-11-04 09:59:00
Case172,Submit Request,2025-11-04 02:27:00
Case173,Submit Request,2025-11-06 04:55:00
Case173,Submit Request,2025-11-05 09:21:00
Case173,Submit Request,2025-11-05 09:21:00
Case174,Submit Request,2025-11-04 11:02:00
Case174,Quality Check,2025-11-06 09:14:00
Case174,Submit Request,2025-11-05 10:00:00
Case175,Submit Request,2025-11-05 17:39:00
Case175,Submit Request,2025-11-06 19:12:00
Case175,Quality Check,2025-11-04 07:20:00
Case176,Submit Request,2025-11-06 21:40:00
Case176,Submit Request,2025-11-06 18:31:00
Case176,Quality Check,2025-11-06 17:03:00
Case177,Quality Check,2025-11-06 04:12:00
Case177,Quality Check,2025-11-05 18:39:00
Case177,Quality Check,2025-11-06 04:44:00
Case178,Quality Check,2025-11-05 03:29:00
Case178,Quality Check,2025-11-05 11:24:00
Case178,Submit Request,2025-11-04 04:40:00
Case179,Submit Request,2025-11-07 08:59:00
Case179,Quality Check,2025-11-06 12:43:00
Case179,Quality Check,2025-11-05 03:59:00
Case180,Quality Check,2025-11-06 21:07:00
Case180,Quality Check,2025-11-04 02:56:00
Case180,Submit Request,2025-11-04 20:41:00
Case181,Submit Request,2025-11-04 22:26:00
Case181,Submit Request,2025-11-04 22:31:00
Case181,Quality Check,2025-11-05 22:05:00
Case182,Quality Check,2025-11-07 06:57:00
Case182,Submit Request,2025-11-07 03:56:00
Case182,Submit Request,2025-11-07 10:57:00
Case183,Quality Check,2025-11-05 06:00:00
Case183,Submit Request,2025-11-07 03:02:00
Case183,Submit Request,2025-11-06 12:43:00
Case184,Quality Check,2025-11-06 04:44:00
Case184,Quality Check,2025-11-06 16:04:00
Case184,Quality Check,2025-11-07 06:53:00
Case185,Submit Request,2025-11-06 11:32:00
Case185,Quality Check,2025-11-04 06:28:00
Case185,Quality Check,2025-11-05 01:23:00
Case186,Submit Request,2025-11-07 11:14:00
Case186,Submit Request,2025-11-06 09:53:00
Case186,Submit Request,2025-11-05 17:07:00
Case187,Quality Check,2025-11-06 16:10:00
Case187,Quality Check,2025-11-05 19:45:00
Case187,Quality Check,2025-11-06 10:26:00
Case188,Submit Request,2025-11-06 17:22:00
Case188,Submit Request,2025-11-04 11:29:00
Case188,Submit Request,2025-11-07 00:41:00
Case189,Submit Request,2025-11-07 03:05:00
Case189,Quality Check,2025-11-06 05:44:00
Case189,Quality Check,2025-11-04 20:55:00
Case190,Submit Request,2025-11-04 19:42:00
Case190,Quality Check,2025-11-05 01:45:00
Case190,Submit Request,2025-11-06 15:03:00
Case191,Quality Check,2025-11-07 01:19:00
Case191,Submit Request,2025-11-05 05:46:00
Case191,Submit Request,2025-11-04 14:31:00
Case192,Submit Request,2025-11-05 10:07:00
Case192,Quality Check,2025-11-06 10:48:00
Case192,Quality Check,2025-11-04 22:00:00
Case193,Quality Check,2025-11-06 15:37:00
Case193,Submit Request,2025-11-05 08:56:00
Case193,Submit Request,2025-11-04 04:03:00
Case194,Submit Request,2025-11-07 00:23:00
Case194,Quality Check,2025-11-04 00:42:00
Case194,Quality Check,2025-11-05 18:15:00
Case195,Quality Check,2025-11-07 05:06:00
Case195,Submit Request,2025-11-04 21:35:00
Case195,Submit Request,2025-11-06 07:27:00
Case196,Quality Check,2025-11-07 06:19:00
Case196,Submit Request,2025-11-04 22:04:00
Case196,Quality Check,2025-11-04 18:12:00
Case197,Submit Request,2025-11-05 18:33:00
Case197,Quality Check,2025-11-06 17:49:00
Case197,Submit Request,2025-11-06 22:40:00
Case198,Quality Check,2025-11-07 00:48:00
Case198,Quality Check,2025-11-07 05:27:00
Case198,Quality Check,2025-11-05 21:31:00
Case199,Submit Request,2025-11-04 09:38:00
Case199,Submit Request,2025-11-06 21:36:00
Case199,Quality Check,2025-11-04 05:21:00
Case200,Quality Check,2025-11-07 02:28:00
Case200,Submit Request,2025-11-05 23:30:00
Case200,Quality Check,2025-11-06 01:49:00
Case201,Submit Request,2025-11-06 01:47:00
Case201,Quality Check,2025-11-04 19:09:00
Case201,Submit Request,2025-11-06 12:54:00
Case202,Quality Check,2025-11-07 11:08:00
Case202,Quality Check,2025-11-06 16:13:00
Case202,Quality Check,2025-11-06 06:57:00
Case203,Submit Request,2025-11-04 21:26:00
